UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ
1,10068,3,4625.9
1,30000,1,6273.75
1,235000,1,49396.5
1,50102,1,3035.5
1,123020,1,6702.4167
1,264416,1,12467.9
1,57013,1,2721.0833
2,127000,1,4308.3334
1,63004,1,11761.9
1,50688,1,2691.8833
1,2000,1,1133.0001
1,24000,1,4136.0499
1,41000,1,27162.3333
1,9001,1,2785.2501
1,76296,1,16447.8
1,35187,1,4464.65
1,130385,1,13800.6667
1,45796,1,3516.6
1,71416,1,4848.9333
1,25000,1,2091.75
1,114400,1,29697.75
1,118073,2,20295.1999
2,16720,1,3221.3333
1,27600,1,2187.4167
1,79000,1,10382.5666
1,311004,1,41608.7244
1,55000,1,7182.7999
1,60000,6,5854.0499
1,14400,2,10241.3
1,21608,1,5008.3
1,3996,1,5654.1
1,13317,4,1327.6
1,55015,1,2485.4
1,126088,1,9047.05
2,42316,1,9779.2667
1,102400,1,61157.3
1,42000,1,13340.4
1,132900,1,16590.75
1,19620,1,2001.8
1,54202,1,9159.5665
1,45000,1,7358.7501
1,61322,1,3350.75
1,6600,2,1712.25
1,246632,1,24545.6489
1,91200,1,2732.3333
1,3692,2,6063.8499
1,95000,6,9635.4333
1,36671,1,7540.75
1,50000,1,11728.5
1,2000,2,2495.35
1,34092,1,2187.8
1,67000,1,14725.85
1,27840,1,814.2166
1,139216,1,11356.0333
1,45000,1,7475.1667
1,7000,6,3206.5501
2,73200,1,3275.35
1,55000,1,9616.6
1,43001,1,2415.1667
1,136800,1,6850.9167
1,131808,4,12780.2167
1,41000,1,9231.2999
1,43056,2,2493.9333
1,1608,1,3113.8
1,84915,1,21872.0489
1,27502,1,1767.7167
1,145209,1,6942.2667
1,153008,1,12533.4912
1,334436,1,71634.5868
1,57400,1,12822.9334
1,52408,1,14476.6334
1,48719,1,6351.1
1,24128,1,5546.6666
1,30068,1,3662.1333
1,79480,1,12020.3501
1,30660,1,5140.4
1,62000,4,3047.3333
1,264386,1,28529.3368
1,15216,1,3674
1,77208,1,11257.4
1,192000,1,22345
1,69308,1,2063.3833
1,40000,2,4785
1,1932,1,4909
1,54208,1,7199.6
1,40383,1,5207.2667
1,117201,4,12337.6001
1,117000,4,12522.0001
1,58675,1,12284.2499
1,64000,1,8470.1333
1,36100,2,6588.1334
1,212000,1,29113.8248
1,19776,6,2421.9333
1,62000,1,22427.2002
1,63727,1,9982.3001
1,29484,1,2069.1333
